field_1,Estacion,mes,lat,long,Altura_(m),Numero,Temperatura_(C),Temperatura_maxima_(C),Temperatura_minima_(C),Humedad_relativa_(%),Velocidad_del_Viento_(km/h),Nubosidad_total_(octavos),Precipitacion_(mm),Frecuencia_dias_Precipitacion_>0.1_mm,CL
"18",ORAN,jul,-16.333333333333332,-60.842105263157897,"357","87016",14.699999999999999,22.000000000000000,9.199999999999999,75.400000000000006,7.700000000000000,4.000000000000000,4.500000000000000,2.800000000000000,"3"
"19",ORAN,ago,-16.333333333333332,-60.842105263157897,"357","87016",17.199999999999999,25.600000000000001,11.000000000000000,67.299999999999997,8.199999999999999,3.500000000000000,5.400000000000000,2.200000000000000,"3"
"20",ORAN,sep,-16.333333333333332,-60.842105263157897,"357","87016",20.100000000000001,28.300000000000001,13.500000000000000,59.100000000000001,9.100000000000000,3.900000000000000,16.300000000000001,3.200000000000000,"3"
"21",ORAN,oct,-16.333333333333332,-60.842105263157897,"357","87016",23.800000000000001,31.500000000000000,17.899999999999999,62.500000000000000,9.199999999999999,4.600000000000000,60.000000000000000,7.100000000000000,"1"
"22",ORAN,nov,-16.333333333333332,-60.842105263157897,"357","87016",25.000000000000000,32.000000000000000,19.500000000000000,69.599999999999994,9.600000000000000,5.000000000000000,108.099999999999994,10.400000000000000,"1"
"23",ORAN,dic,-16.333333333333332,-60.842105263157897,"357","87016",26.000000000000000,32.600000000000001,21.199999999999999,74.700000000000003,8.600000000000000,5.300000000000000,170.099999999999994,12.900000000000000,"1"
"24",TARTAGAL,ene,-20.461538461538460,-61.775510204081634,"450","87022",25.199999999999999,31.699999999999999,20.600000000000001,78.500000000000000,6.100000000000000,,200.199999999999989,11.600000000000000,"1"
"25",TARTAGAL,feb,-20.461538461538460,-61.775510204081634,"450","87022",24.399999999999999,30.699999999999999,20.000000000000000,,5.900000000000000,,182.800000000000011,11.100000000000000,"1"
"26",TARTAGAL,mar,-20.461538461538460,-61.775510204081634,"450","87022",,29.100000000000001,19.600000000000001,,5.200000000000000,,187.699999999999989,11.699999999999999,"1"
"27",TARTAGAL,abril,-20.461538461538460,-61.775510204081634,"450","87022",20.199999999999999,25.500000000000000,17.000000000000000,85.000000000000000,4.700000000000000,,65.299999999999997,10.500000000000000,"1"
"28",TARTAGAL,mayo,-20.461538461538460,-61.775510204081634,"450","87022",17.199999999999999,22.699999999999999,13.199999999999999,83.500000000000000,4.600000000000000,,22.000000000000000,5.900000000000000,"3"
"29",TARTAGAL,jun,-20.461538461538460,-61.775510204081634,"450","87022",14.900000000000000,21.000000000000000,10.699999999999999,80.799999999999997,4.600000000000000,,6.700000000000000,3.600000000000000,"3"
"30",TARTAGAL,jul,-20.461538461538460,-61.775510204081634,"450","87022",14.600000000000000,22.100000000000001,9.100000000000000,71.900000000000006,5.600000000000000,,3.600000000000000,2.200000000000000,"3"
"31",TARTAGAL,ago,-20.461538461538460,-61.775510204081634,"450","87022",17.399999999999999,25.500000000000000,10.600000000000000,62.000000000000000,6.700000000000000,,5.100000000000000,1.700000000000000,"3"
"32",TARTAGAL,sep,-20.461538461538460,-61.775510204081634,"450","87022",20.199999999999999,28.199999999999999,13.199999999999999,55.100000000000001,7.300000000000000,,15.100000000000000,2.400000000000000,"3"
"33",TARTAGAL,oct,-20.461538461538460,-61.775510204081634,"450","87022",23.899999999999999,31.399999999999999,17.500000000000000,60.100000000000001,8.100000000000000,,45.000000000000000,5.100000000000000,"3"
"34",TARTAGAL,nov,-20.461538461538460,-61.775510204081634,"450","87022",24.600000000000001,31.699999999999999,18.800000000000001,67.099999999999994,8.600000000000000,,110.000000000000000,9.000000000000000,"1"
"35",TARTAGAL,dic,-20.461538461538460,-61.775510204081634,"450","87022",25.300000000000001,32.000000000000000,20.300000000000001,74.400000000000006,7.100000000000000,,176.400000000000006,11.400000000000000,"1"
"36",JUJUY,ene,-21.391304347826086,-53.000000000000000,"905","87046",23.600000000000001,30.000000000000000,18.300000000000001,74.400000000000006,8.199999999999999,5.300000000000000,153.199999999999989,13.400000000000000,"1"
"37",JUJUY,feb,-21.391304347826086,-53.000000000000000,"905","87046",22.500000000000000,28.800000000000001,17.500000000000000,77.700000000000003,8.300000000000001,5.200000000000000,152.900000000000006,12.500000000000000,"1"
"38",JUJUY,mar,-21.391304347826086,-53.000000000000000,"905","87046",21.399999999999999,27.199999999999999,17.100000000000001,82.000000000000000,7.300000000000000,5.400000000000000,138.900000000000006,14.100000000000000,"1"
"39",JUJUY,abril,-21.391304347826086,-53.000000000000000,"905","87046",18.300000000000001,24.000000000000000,14.000000000000000,82.400000000000006,7.100000000000000,5.300000000000000,49.399999999999999,8.699999999999999,"1"
"40",JUJUY,mayo,-21.391304347826086,-53.000000000000000,"905","87046",14.800000000000001,21.300000000000001,10.000000000000000,79.700000000000003,7.400000000000000,4.700000000000000,11.600000000000000,3.900000000000000,"3"
"41",JUJUY,jun,-21.391304347826086,-53.000000000000000,"905","87046",12.199999999999999,19.699999999999999,6.800000000000000,76.700000000000003,7.300000000000000,4.100000000000000,2.800000000000000,2.000000000000000,"3"
"42",JUJUY,jul,-21.391304347826086,-53.000000000000000,"905","87046",11.900000000000000,20.300000000000001,5.800000000000000,68.000000000000000,9.199999999999999,3.200000000000000,3.400000000000000,2.300000000000000,"3"
"43",JUJUY,ago,-21.391304347826086,-53.000000000000000,"905","87046",15.000000000000000,23.300000000000001,8.199999999999999,58.700000000000003,10.300000000000001,3.100000000000000,3.100000000000000,1.600000000000000,"3"
"44",JUJUY,sep,-21.391304347826086,-53.000000000000000,"905","87046",17.800000000000001,25.699999999999999,10.600000000000000,52.299999999999997,11.000000000000000,3.400000000000000,5.400000000000000,1.900000000000000,"3"
"45",JUJUY,oct,-21.391304347826086,-53.000000000000000,"905","87046",21.699999999999999,29.000000000000000,14.800000000000001,56.000000000000000,10.699999999999999,4.100000000000000,28.100000000000001,4.800000000000000,"3"
"46",JUJUY,nov,-21.391304347826086,-53.000000000000000,"905","87046",23.000000000000000,29.899999999999999,16.699999999999999,62.000000000000000,10.199999999999999,4.500000000000000,61.100000000000001,7.800000000000000,"1"
"47",JUJUY,dic,-21.391304347826086,-53.000000000000000,"905","87046",23.800000000000001,30.500000000000000,18.000000000000000,68.799999999999997,8.900000000000000,5.000000000000000,130.400000000000006,11.600000000000000,"1"
"48",SALTA,ene,-22.823529411764707,-62.931034482758619,"1221","87047",21.399999999999999,27.399999999999999,16.600000000000001,78.200000000000003,6.800000000000000,5.900000000000000,192.599999999999994,16.300000000000001,"1"
"49",SALTA,feb,-22.823529411764707,-62.931034482758619,"1221","87047",20.300000000000001,26.399999999999999,15.699999999999999,81.000000000000000,6.500000000000000,5.800000000000000,154.199999999999989,14.800000000000001,"1"
"50",SALTA,mar,-22.823529411764707,-62.931034482758619,"1221","87047",19.500000000000000,25.199999999999999,15.300000000000001,83.700000000000003,5.800000000000000,5.900000000000000,110.599999999999994,14.199999999999999,"1"
"51",SALTA,abril,-22.823529411764707,-62.931034482758619,"1221","87047",16.600000000000001,22.699999999999999,11.900000000000000,82.900000000000006,5.800000000000000,5.600000000000000,33.000000000000000,7.900000000000000,"2"
"52",SALTA,mayo,-22.823529411764707,-62.931034482758619,"1221","87047",13.100000000000000,20.300000000000001,7.600000000000000,80.500000000000000,6.300000000000000,5.000000000000000,8.000000000000000,3.900000000000000,"3"
"53",SALTA,jun,-22.823529411764707,-62.931034482758619,"1221","87047",10.600000000000000,19.600000000000001,4.100000000000000,75.500000000000000,6.100000000000000,4.200000000000000,1.500000000000000,1.600000000000000,"3"
"54",SALTA,jul,-22.823529411764707,-62.931034482758619,"1221","87047",10.100000000000000,20.000000000000000,2.900000000000000,69.099999999999994,6.900000000000000,3.300000000000000,3.900000000000000,2.100000000000000,"3"
"55",SALTA,ago,-22.823529411764707,-62.931034482758619,"1221","87047",12.699999999999999,22.300000000000001,4.900000000000000,62.799999999999997,7.500000000000000,3.200000000000000,3.800000000000000,2.100000000000000,"3"
"56",SALTA,sep,-22.823529411764707,-62.931034482758619,"1221","87047",15.100000000000000,23.899999999999999,7.300000000000000,58.200000000000003,7.900000000000000,3.500000000000000,7.600000000000000,2.700000000000000,"3"
"57",SALTA,oct,-22.823529411764707,-62.931034482758619,"1221","87047",19.100000000000001,26.800000000000001,11.800000000000001,61.200000000000003,9.000000000000000,4.400000000000000,25.100000000000001,5.700000000000000,"3"
"58",SALTA,nov,-22.823529411764707,-62.931034482758619,"1221","87047",20.500000000000000,27.500000000000000,14.100000000000000,67.099999999999994,8.699999999999999,5.000000000000000,62.200000000000003,9.500000000000000,"1"
"59",SALTA,dic,-22.823529411764707,-62.931034482758619,"1221","87047",21.500000000000000,28.000000000000000,15.900000000000000,73.099999999999994,7.700000000000000,5.500000000000000,145.599999999999994,14.000000000000000,"1"
"60",LAS LOMITAS,ene,-22.571428571428573,-58.285714285714285,"130","87078",27.899999999999999,35.100000000000001,21.699999999999999,69.299999999999997,5.400000000000000,4.000000000000000,142.400000000000006,8.800000000000001,"1"
"61",LAS LOMITAS,feb,-22.571428571428573,-58.285714285714285,"130","87078",26.800000000000001,33.799999999999997,21.100000000000001,72.200000000000003,7.000000000000000,3.900000000000000,116.700000000000003,9.199999999999999,"1"
"62",LAS LOMITAS,mar,-22.571428571428573,-58.285714285714285,"130","87078",25.800000000000001,32.799999999999997,20.300000000000001,75.200000000000003,6.000000000000000,3.500000000000000,160.400000000000006,9.900000000000000,"1"
"63",LAS LOMITAS,abril,-22.571428571428573,-58.285714285714285,"130","87078",22.500000000000000,28.800000000000001,17.500000000000000,79.400000000000006,5.900000000000000,4.200000000000000,84.599999999999994,9.300000000000001,"1"
"64",LAS LOMITAS,mayo,-22.571428571428573,-58.285714285714285,"130","87078",18.800000000000001,25.399999999999999,13.699999999999999,79.900000000000006,5.800000000000000,4.100000000000000,57.500000000000000,7.100000000000000,"1"
"65",LAS LOMITAS,jun,-22.571428571428573,-58.285714285714285,"130","87078",16.899999999999999,23.399999999999999,11.800000000000001,79.299999999999997,5.300000000000000,4.400000000000000,18.600000000000001,6.000000000000000,"2"
"66",LAS LOMITAS,jul,-22.571428571428573,-58.285714285714285,"130","87078",16.600000000000001,24.100000000000001,10.400000000000000,71.299999999999997,6.900000000000000,3.500000000000000,13.100000000000000,3.900000000000000,"3"
"67",LAS LOMITAS,ago,-22.571428571428573,-58.285714285714285,"130","87078",19.100000000000001,27.100000000000001,12.199999999999999,62.799999999999997,8.600000000000000,3.100000000000000,16.100000000000001,2.900000000000000,"3"
"68",LAS LOMITAS,sep,-22.571428571428573,-58.285714285714285,"130","87078",21.199999999999999,29.100000000000001,14.199999999999999,60.500000000000000,8.699999999999999,3.500000000000000,30.399999999999999,4.400000000000000,"3"
"69",LAS LOMITAS,oct,-22.571428571428573,-58.285714285714285,"130","87078",24.600000000000001,32.200000000000003,17.800000000000001,62.700000000000003,9.400000000000000,3.700000000000000,72.500000000000000,7.300000000000000,"1"
"70",LAS LOMITAS,nov,-22.571428571428573,-58.285714285714285,"130","87078",25.899999999999999,33.200000000000003,19.300000000000001,65.900000000000006,9.900000000000000,3.700000000000000,119.000000000000000,8.699999999999999,"1"
"71",LAS LOMITAS,dic,-22.571428571428573,-58.285714285714285,"130","87078",27.300000000000001,34.399999999999999,20.899999999999999,68.200000000000003,8.199999999999999,3.800000000000000,132.599999999999994,8.800000000000001,"1"
"72",IGUAZU,ene,-23.636363636363637,-51.857142857142854,"270","87097",25.600000000000001,31.800000000000001,20.500000000000000,78.099999999999994,6.400000000000000,4.200000000000000,177.699999999999989,10.300000000000001,"1"
"73",IGUAZU,feb,-23.636363636363637,-51.857142857142854,"270","87097",24.899999999999999,31.199999999999999,20.199999999999999,80.400000000000006,6.300000000000000,4.300000000000000,154.699999999999989,10.199999999999999,"1"
"74",IGUAZU,mar,-23.636363636363637,-51.857142857142854,"270","87097",24.199999999999999,30.699999999999999,19.300000000000001,79.700000000000003,5.300000000000000,3.600000000000000,126.500000000000000,8.100000000000000,"1"
"75",IGUAZU,abril,-23.636363636363637,-51.857142857142854,"270","87097",21.399999999999999,27.500000000000000,16.800000000000001,83.700000000000003,6.100000000000000,3.700000000000000,169.099999999999994,8.900000000000000,"1"
"76",IGUAZU,mayo,-23.636363636363637,-51.857142857142854,"270","87097",17.600000000000001,23.500000000000000,13.100000000000000,86.500000000000000,6.400000000000000,3.600000000000000,192.699999999999989,8.800000000000001,"1"
"77",IGUAZU,jun,-23.636363636363637,-51.857142857142854,"270","87097",15.900000000000000,21.699999999999999,11.699999999999999,88.099999999999994,6.200000000000000,4.000000000000000,148.300000000000011,8.600000000000000,"1"
"78",IGUAZU,jul,-23.636363636363637,-51.857142857142854,"270","87097",15.699999999999999,22.199999999999999,10.800000000000001,83.599999999999994,7.400000000000000,3.400000000000000,115.799999999999997,8.300000000000001,"1"
"79",IGUAZU,ago,-23.636363636363637,-51.857142857142854,"270","87097",17.600000000000001,24.699999999999999,12.199999999999999,78.500000000000000,8.400000000000000,3.500000000000000,94.200000000000003,6.800000000000000,"1"
"80",IGUAZU,sep,-23.636363636363637,-51.857142857142854,"270","87097",19.100000000000001,25.800000000000001,13.699999999999999,76.400000000000006,8.800000000000001,4.000000000000000,160.300000000000011,9.600000000000000,"1"
"81",IGUAZU,oct,-23.636363636363637,-51.857142857142854,"270","87097",21.899999999999999,28.300000000000001,16.500000000000000,77.299999999999997,7.400000000000000,4.100000000000000,237.000000000000000,11.600000000000000,"1"
"82",IGUAZU,nov,-23.636363636363637,-51.857142857142854,"270","87097",23.500000000000000,30.100000000000001,17.800000000000001,74.900000000000006,7.500000000000000,3.700000000000000,186.300000000000011,9.400000000000000,"1"
"83",IGUAZU,dic,-23.636363636363637,-51.857142857142854,"270","87097",25.000000000000000,31.399999999999999,19.500000000000000,75.700000000000003,6.600000000000000,3.900000000000000,186.900000000000006,9.900000000000000,"1"
"84",TUCUMAN,ene,-24.823529411764707,-55.000000000000000,"450","87121",25.199999999999999,31.000000000000000,20.100000000000001,74.200000000000003,11.600000000000000,5.000000000000000,230.599999999999994,13.699999999999999,"1"
"85",TUCUMAN,feb,-24.823529411764707,-55.000000000000000,"450","87121",24.000000000000000,29.699999999999999,19.300000000000001,76.799999999999997,11.300000000000001,5.100000000000000,172.300000000000011,11.500000000000000,"1"
"86",TUCUMAN,mar,-24.823529411764707,-55.000000000000000,"450","87121",22.600000000000001,27.899999999999999,18.500000000000000,81.000000000000000,10.000000000000000,5.200000000000000,151.099999999999994,12.900000000000000,"1"
"87",TUCUMAN,abril,-24.823529411764707,-55.000000000000000,"450","87121",19.199999999999999,24.600000000000001,15.100000000000000,81.200000000000003,9.600000000000000,5.100000000000000,62.500000000000000,9.600000000000000,"1"
"88",TUCUMAN,mayo,-24.823529411764707,-55.000000000000000,"450","87121",15.699999999999999,21.199999999999999,11.400000000000000,80.299999999999997,9.400000000000000,4.700000000000000,25.899999999999999,6.900000000000000,"2"
"89",TUCUMAN,jun,-24.823529411764707,-55.000000000000000,"450","87121",12.699999999999999,18.600000000000001,8.199999999999999,78.900000000000006,9.699999999999999,4.600000000000000,13.100000000000000,5.200000000000000,"2"
"90",TUCUMAN,jul,-24.823529411764707,-55.000000000000000,"450","87121",12.199999999999999,19.300000000000001,6.800000000000000,70.900000000000006,10.699999999999999,3.400000000000000,7.400000000000000,3.300000000000000,"3"
"91",TUCUMAN,ago,-24.823529411764707,-55.000000000000000,"450","87121",14.900000000000000,22.800000000000001,8.500000000000000,62.100000000000001,11.199999999999999,3.300000000000000,8.500000000000000,2.100000000000000,"3"
"92",TUCUMAN,sep,-24.823529411764707,-55.000000000000000,"450","87121",17.800000000000001,25.399999999999999,11.000000000000000,58.399999999999999,11.800000000000001,3.500000000000000,16.100000000000001,3.300000000000000,"3"
"93",TUCUMAN,oct,-24.823529411764707,-55.000000000000000,"450","87121",21.800000000000001,28.899999999999999,15.199999999999999,61.500000000000000,12.199999999999999,4.200000000000000,65.099999999999994,7.300000000000000,"1"
"94",TUCUMAN,nov,-24.823529411764707,-55.000000000000000,"450","87121",23.399999999999999,29.899999999999999,17.500000000000000,67.099999999999994,12.000000000000000,4.700000000000000,103.000000000000000,10.800000000000001,"1"
"95",TUCUMAN,dic,-24.823529411764707,-55.000000000000000,"450","87121",24.899999999999999,30.800000000000001,19.300000000000001,70.799999999999997,11.100000000000000,4.800000000000000,175.900000000000006,12.100000000000000,"1"
"96",SANTIAGO DEL ESTERO,ene,-25.695652173913043,-60.666666666666664,"199","87129",26.699999999999999,33.899999999999999,20.500000000000000,66.799999999999997,9.199999999999999,4.000000000000000,134.800000000000011,9.800000000000001,"1"
"97",SANTIAGO DEL ESTERO,feb,-25.695652173913043,-60.666666666666664,"199","87129",25.500000000000000,32.500000000000000,19.699999999999999,70.000000000000000,9.199999999999999,4.100000000000000,100.599999999999994,8.699999999999999,"1"
"98",SANTIAGO DEL ESTERO,mar,-25.695652173913043,-60.666666666666664,"199","87129",23.800000000000001,30.399999999999999,18.500000000000000,74.200000000000003,8.600000000000000,4.300000000000000,91.099999999999994,9.500000000000000,"1"
"99",SANTIAGO DEL ESTERO,abril,-25.695652173913043,-60.666666666666664,"199","87129",19.800000000000001,26.300000000000001,14.600000000000000,76.599999999999994,7.800000000000000,4.500000000000000,35.899999999999999,7.100000000000000,"1"
"100",SANTIAGO DEL ESTERO,mayo,-25.695652173913043,-60.666666666666664,"199","87129",16.100000000000001,23.100000000000001,10.400000000000000,74.500000000000000,7.300000000000000,4.200000000000000,17.199999999999999,4.500000000000000,"2"
"101",SANTIAGO DEL ESTERO,jun,-25.695652173913043,-60.666666666666664,"199","87129",12.699999999999999,20.100000000000001,6.800000000000000,73.200000000000003,7.100000000000000,4.200000000000000,6.600000000000000,3.900000000000000,"2"
"102",SANTIAGO DEL ESTERO,jul,-25.695652173913043,-60.666666666666664,"199","87129",12.199999999999999,20.899999999999999,5.000000000000000,63.600000000000001,8.199999999999999,3.100000000000000,3.000000000000000,1.900000000000000,"3"
"103",SANTIAGO DEL ESTERO,ago,-25.695652173913043,-60.666666666666664,"199","87129",15.300000000000001,24.399999999999999,7.300000000000000,54.299999999999997,9.000000000000000,2.900000000000000,2.000000000000000,1.300000000000000,"3"
"104",SANTIAGO DEL ESTERO,sep,-25.695652173913043,-60.666666666666664,"199","87129",18.500000000000000,26.899999999999999,10.300000000000001,50.899999999999999,10.199999999999999,3.200000000000000,12.300000000000001,2.200000000000000,"3"
"105",SANTIAGO DEL ESTERO,oct,-25.695652173913043,-60.666666666666664,"199","87129",22.699999999999999,30.699999999999999,15.300000000000001,54.799999999999997,11.600000000000000,3.600000000000000,44.700000000000003,5.900000000000000,"1"
"106",SANTIAGO DEL ESTERO,nov,-25.695652173913043,-60.666666666666664,"199","87129",24.800000000000001,32.200000000000003,17.800000000000001,59.000000000000000,10.900000000000000,3.800000000000000,66.700000000000003,7.200000000000000,"1"
"107",SANTIAGO DEL ESTERO,dic,-25.695652173913043,-60.666666666666664,"199","87129",26.500000000000000,33.700000000000003,20.000000000000000,62.700000000000003,10.000000000000000,3.900000000000000,114.200000000000003,8.900000000000000,"1"
"108",RESISTENCIA,ene,-24.777777777777779,-39.000000000000000,"52","87155",26.800000000000001,33.299999999999997,20.899999999999999,70.799999999999997,10.100000000000000,3.700000000000000,161.099999999999994,8.900000000000000,"1"
"109",RESISTENCIA,feb,-24.777777777777779,-39.000000000000000,"52","87155",25.899999999999999,32.100000000000001,20.500000000000000,74.500000000000000,10.500000000000000,3.800000000000000,165.599999999999994,9.100000000000000,"1"
"110",RESISTENCIA,mar,-24.777777777777779,-39.000000000000000,"52","87155",24.600000000000001,30.699999999999999,19.500000000000000,77.400000000000006,9.900000000000000,3.500000000000000,174.400000000000006,9.199999999999999,"1"
"111",RESISTENCIA,abril,-24.777777777777779,-39.000000000000000,"52","87155",21.199999999999999,26.899999999999999,16.500000000000000,81.000000000000000,9.800000000000001,4.100000000000000,202.300000000000011,9.600000000000000,"1"
"112",RESISTENCIA,mayo,-24.777777777777779,-39.000000000000000,"52","87155",17.600000000000001,23.600000000000001,12.600000000000000,81.700000000000003,9.800000000000001,3.800000000000000,78.400000000000006,7.100000000000000,"1"
"113",RESISTENCIA,jun,-24.777777777777779,-39.000000000000000,"52","87155",15.400000000000000,21.300000000000001,10.800000000000001,82.500000000000000,10.000000000000000,4.400000000000000,63.799999999999997,7.900000000000000,"2"
"114",RESISTENCIA,jul,-24.777777777777779,-39.000000000000000,"52","87155",14.800000000000001,21.399999999999999,9.500000000000000,77.299999999999997,11.199999999999999,3.700000000000000,30.600000000000001,5.600000000000000,"2"
"115",RESISTENCIA,ago,-24.777777777777779,-39.000000000000000,"52","87155",16.699999999999999,23.699999999999999,10.800000000000001,72.500000000000000,12.699999999999999,3.600000000000000,38.000000000000000,5.000000000000000,"2"
"116",RESISTENCIA,sep,-24.777777777777779,-39.000000000000000,"52","87155",18.500000000000000,25.300000000000001,12.400000000000000,70.599999999999994,13.800000000000001,3.800000000000000,68.900000000000006,7.600000000000000,"1"
"117",RESISTENCIA,oct,-24.777777777777779,-39.000000000000000,"52","87155",21.800000000000001,28.100000000000001,15.900000000000000,71.799999999999997,13.400000000000000,3.700000000000000,134.699999999999989,10.100000000000000,"1"
"118",RESISTENCIA,nov,-24.777777777777779,-39.000000000000000,"52","87155",23.600000000000001,29.800000000000001,17.699999999999999,72.000000000000000,12.500000000000000,3.500000000000000,168.199999999999989,10.000000000000000,"1"
"119",RESISTENCIA,dic,-24.777777777777779,-39.000000000000000,"52","87155",25.800000000000001,32.100000000000001,19.699999999999999,70.799999999999997,10.699999999999999,3.600000000000000,146.900000000000006,9.100000000000000,"1"
"120",FORMOSA,ene,-21.000000000000000,-53.714285714285715,"60","87162",27.600000000000001,33.799999999999997,22.300000000000001,71.200000000000003,11.800000000000001,3.900000000000000,165.699999999999989,9.100000000000000,"1"
"121",FORMOSA,feb,-21.000000000000000,-53.714285714285715,"60","87162",26.800000000000001,32.799999999999997,21.899999999999999,74.299999999999997,11.900000000000000,3.900000000000000,128.699999999999989,8.900000000000000,"1"
"122",FORMOSA,mar,-21.000000000000000,-53.714285714285715,"60","87162",25.699999999999999,31.899999999999999,20.899999999999999,75.900000000000006,11.199999999999999,3.600000000000000,144.800000000000011,8.500000000000000,"1"
"123",FORMOSA,abril,-21.000000000000000,-53.714285714285715,"60","87162",22.500000000000000,28.100000000000001,18.199999999999999,79.500000000000000,11.500000000000000,4.000000000000000,175.000000000000000,9.199999999999999,"1"
"124",FORMOSA,mayo,-21.000000000000000,-53.714285714285715,"60","87162",18.899999999999999,24.399999999999999,14.600000000000000,80.200000000000003,11.600000000000000,3.900000000000000,99.299999999999997,7.700000000000000,"1"
"125",FORMOSA,jun,-21.000000000000000,-53.714285714285715,"60","87162",17.000000000000000,22.399999999999999,12.900000000000000,80.799999999999997,11.900000000000000,4.400000000000000,68.900000000000006,7.200000000000000,"2"
"126",FORMOSA,jul,-21.000000000000000,-53.714285714285715,"60","87162",16.300000000000001,22.300000000000001,11.699999999999999,76.500000000000000,13.100000000000000,3.800000000000000,47.500000000000000,5.500000000000000,"2"
"127",FORMOSA,ago,-21.000000000000000,-53.714285714285715,"60","87162",18.100000000000001,24.800000000000001,13.000000000000000,71.599999999999994,14.400000000000000,3.600000000000000,44.200000000000003,5.800000000000000,"2"
"128",FORMOSA,sep,-21.000000000000000,-53.714285714285715,"60","87162",19.800000000000001,26.300000000000001,14.500000000000000,70.200000000000003,14.900000000000000,3.800000000000000,90.799999999999997,7.600000000000000,"1"
"129",FORMOSA,oct,-21.000000000000000,-53.714285714285715,"60","87162",23.000000000000000,29.000000000000000,17.899999999999999,71.799999999999997,14.900000000000000,3.900000000000000,142.000000000000000,9.600000000000000,"1"
